CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,Log_Recency,Log_Frequency,Log_Monetary,CLV,Cluster
12346,321,5,77280.49,2,4,4,244,Loyal Customers,5.7745515455444085,1.791759469228055,11.255209749238835,386402.45,0
12347,35,6,1735.52,4,4,4,444,Champions,3.58351893845611,1.9459101490553132,7.4596383895379015,10413.119999999999,0
12348,70,5,1478.68,3,4,4,344,Loyal Customers,4.2626798770413155,1.791759469228055,7.299581127163848,7393.400000000001,0
12349,14,4,2449.42,4,3,4,434,Others,2.70805020110221,1.6094379124341003,7.804014717418003,9797.68,0
12350,305,1,162.4,2,1,3,213,Others,5.723585101952381,0.6931471805599453,5.096201182425903,162.4,1
12351,370,1,108.63,2,1,3,213,Others,5.916202062607435,0.6931471805599453,4.697111059686448,108.63,1
12352,31,6,1151.73,4,4,4,444,Champions,3.4657359027997265,1.9459101490553132,7.049888321120647,6910.38,0
12353,199,2,243.98,2,2,3,223,Others,5.298317366548036,1.0986122886681098,5.50117657455954,487.96,0
12354,227,1,307.15,2,1,4,214,Others,5.429345628954441,0.6931471805599453,5.730586677408252,307.15,0
12355,209,2,640.9,2,2,4,224,Others,5.3471075307174685,1.0986122886681098,6.464432528317732,1281.8,0
12356,241,5,3822.21,2,4,4,244,Loyal Customers,5.488937726156687,1.791759469228055,8.248845662870488,19111.05,0
12357,28,3,15161.27,4,3,4,434,Others,3.367295829986474,1.3862943611198906,9.626565384134782,45483.81,0
12358,146,4,2128.75,3,3,4,334,Others,4.990432586778736,1.6094379124341003,7.6637598809229495,8515.0,0
12359,53,10,3340.7,3,4,4,344,Loyal Customers,3.9889840465642745,2.3978952727983707,8.114234938519253,33407.0,0
12360,47,6,1516.98,3,4,4,344,Loyal Customers,3.871201010907891,1.9459101490553132,7.325135782638214,9101.880000000001,0
12361,457,1,33.0,1,1,1,111,At Risk,6.126869184114185,0.6931471805599453,3.5263605246161616,33.0,1
12362,31,9,1388.39,4,4,4,444,Champions,3.4657359027997265,2.302585092994046,7.236620080881504,12495.51,0
12363,105,2,251.39999999999998,3,2,3,323,Others,4.663439094112067,1.0986122886681098,5.531015130667058,502.79999999999995,0
12364,3,4,252.18,4,3,3,433,Others,1.3862943611198906,1.6094379124341003,5.5341006982086824,1008.72,0
12365,286,2,381.08,2,2,4,224,Others,5.659482215759621,1.0986122886681098,5.945630010764183,762.16,0
12366,629,1,500.24,1,1,4,114,At Risk,6.4457198193855785,0.6931471805599453,6.217085028297085,500.24,1
12368,623,1,646.5,1,1,4,114,At Risk,6.436150368369428,0.6931471805599453,6.4731187935736925,646.5,1
12369,408,3,619.67,2,3,4,234,Others,6.013715156042802,1.3862943611198906,6.430799539723761,1859.0099999999998,1
12370,46,7,2090.09,3,4,4,344,Loyal Customers,3.8501476017100584,2.0794415416798357,7.645440740109257,14630.630000000001,0
12371,40,5,1958.15,3,4,4,344,Loyal Customers,3.713572066704308,1.791759469228055,7.58026598469164,9790.75,0
12372,67,3,406.56,3,3,4,334,Others,4.219507705176107,1.3862943611198906,6.010188161106084,1219.68,0
12373,306,3,170.2,2,3,3,233,Others,5.726847747587197,1.3862943611198906,5.1428324637076415,510.59999999999997,1
12374,20,3,1338.27,4,3,4,434,Others,3.044522437723423,1.3862943611198906,7.199879968381129,4014.81,0
12375,6,1,166.4,4,1,3,413,Others,1.9459101490553132,0.6931471805599453,5.120386158055375,166.4,0
12376,385,2,297.6,2,2,3,223,Others,5.955837369464831,1.0986122886681098,5.69910488510509,595.2,1
12377,310,4,1314.16,2,3,4,234,Others,5.739792912179234,1.6094379124341003,7.181713610214108,5256.64,1
12378,125,2,1876.27,3,2,4,324,Others,4.836281906951478,1.0986122886681098,7.5375738728052495,3752.54,0
12379,77,2,50.58,3,2,2,322,Others,4.356708826689592,1.0986122886681098,3.9431340004531985,101.16,0
12380,17,10,4258.05,4,4,4,444,Champions,2.8903717578961645,2.3978952727983707,8.356801409699337,42580.5,0
12381,28,3,266.86,4,3,3,433,Others,3.367295829986474,1.3862943611198906,5.590464455958976,800.58,0
12383,233,4,394.06,2,3,4,234,Others,5.455321115357702,1.6094379124341003,5.979037652099855,1576.24,0
12384,24,2,53.980000000000004,4,2,2,422,Others,3.2188758248682006,1.0986122886681098,4.0069694827371,107.96000000000001,0
12385,374,1,692.9,2,1,4,214,Others,5.926926025970411,0.6931471805599453,6.542327857905503,692.9,1
12386,333,1,143.0,2,1,3,213,Others,5.811140992976701,0.6931471805599453,4.969813299576001,143.0,1
12388,11,6,1667.26,4,4,4,444,Champions,2.4849066497880004,1.9459101490553132,7.41953644607116,10003.56,0
12389,398,3,807.35,2,3,4,234,Others,5.988961416889864,1.3862943611198906,6.694995133047615,2422.05,1
12390,75,1,19.8,3,1,1,311,Others,4.330733340286331,0.6931471805599453,3.0349529867072724,19.8,0
12391,17,6,789.86,4,4,4,444,Champions,2.8903717578961645,1.9459101490553132,6.67312096095243,4739.16,0
12392,586,1,182.1,1,1,3,113,At Risk,6.375024819828097,0.6931471805599453,5.210032451680465,182.1,1
12393,67,6,702.5,3,4,4,344,Loyal Customers,4.219507705176107,1.9459101490553132,6.556067876554444,4215.0,0
12394,59,1,785.2,3,1,4,314,Others,4.0943445622221,0.6931471805599453,6.66721121298776,785.2,0
12395,14,7,596.96,4,4,4,444,Champions,2.70805020110221,2.0794415416798357,6.393523862081314,4178.72,0
12396,669,1,145.9,1,1,3,113,At Risk,6.507277712385012,0.6931471805599453,4.989752083179832,145.9,1
12397,31,2,390.84,4,2,4,424,Others,3.4657359027997265,1.0986122886681098,5.970853593203858,781.68,0
12398,41,1,385.53999999999996,3,1,4,314,Others,3.7376696182833684,0.6931471805599453,5.957235355557321,385.53999999999996,0
12399,114,6,430.03,3,4,4,344,Loyal Customers,4.74493212836325,1.9459101490553132,6.066177693249838,2580.18,0
12400,409,1,29.7,2,1,1,211,Others,6.016157159698354,0.6931471805599453,3.4242626545931514,29.7,1
12402,318,2,45.3,2,2,2,222,Others,5.765191102784844,1.0986122886681098,3.835141961092188,90.6,1
12403,45,2,283.3,3,2,3,323,Others,3.828641396489095,1.0986122886681098,5.650030018656954,566.6,0
12404,677,1,63.24,1,1,2,112,At Risk,6.519147287940395,0.6931471805599453,4.162626069638506,63.24,1
12405,144,1,782.19,3,1,4,314,Others,4.976733742420574,0.6931471805599453,6.663375323004042,782.19,0
12406,17,5,2496.08,4,4,4,444,Champions,2.8903717578961645,1.791759469228055,7.822877328212688,12480.4,0
12407,45,5,431.23,3,4,4,344,Loyal Customers,3.828641396489095,1.791759469228055,6.068957853972979,2156.15,0
12408,28,7,882.53,4,4,4,444,Champions,3.367295829986474,2.0794415416798357,6.783925247040649,6177.71,0
12409,74,4,13436.38,3,3,4,334,Others,4.31748811353631,1.6094379124341003,9.505795654597586,53745.52,0
12410,304,3,159.0,2,3,3,233,Others,5.720311776607412,1.3862943611198906,5.075173815233827,477.0,1
12411,405,1,40.5,2,1,2,212,Others,6.0063531596017325,0.6931471805599453,3.7256934272366524,40.5,1
12412,70,6,906.51,3,4,4,344,Loyal Customers,4.2626798770413155,1.9459101490553132,6.810704585362041,5439.0599999999995,0
12413,332,2,120.5,2,2,3,223,Others,5.808142489980444,1.0986122886681098,4.799914262780603,241.0,1
12414,223,3,264.48,2,3,3,233,Others,5.4116460518550396,1.3862943611198906,5.581539508277724,793.44,0
12415,20,23,98861.51,4,4,4,444,Champions,3.044522437723423,3.1780538303479458,11.501485375978255,2273814.73,3
12416,652,1,65.28,1,1,2,112,At Risk,6.481577129276431,0.6931471805599453,4.193888192558362,65.28,1
12417,34,18,1425.53,4,4,4,444,Champions,3.5553480614894135,2.9444389791664403,7.2630002009266335,25659.54,0
12418,108,4,457.41,3,3,4,334,Others,4.6913478822291435,1.6094379124341003,6.127763980171312,1829.64,0
12419,381,2,154.26,2,2,3,223,Others,5.945420608606575,1.0986122886681098,5.045101130977534,308.52,1
12420,59,1,125.3,3,1,3,313,Others,4.0943445622221,0.6931471805599453,4.838660029356445,125.3,0
12421,11,3,122.75999999999999,4,3,3,433,Others,2.4849066497880004,1.3862943611198906,4.81834420626481,368.28,0
12422,91,13,1781.92,3,4,4,344,Loyal Customers,4.5217885770490405,2.6390573296152584,7.486007748656869,23164.96,0
12423,96,7,252.7,3,4,3,343,Loyal Customers,4.574710978503383,2.0794415416798357,5.536152466605236,1768.8999999999999,0
12424,158,4,2148.29,3,3,4,334,Others,5.0689042022202315,1.6094379124341003,7.672892834024791,8593.16,0
12425,73,2,549.37,3,2,4,324,Others,4.30406509320417,1.0986122886681098,6.310590779319685,1098.74,0
12426,190,2,216.73,2,2,3,223,Others,5.25227342804663,1.0986122886681098,5.383255763064228,433.46,0
12428,21,9,3869.56,4,4,4,444,Champions,3.091042453358316,2.302585092994046,8.261154478397758,34826.04,0
12429,4,7,2293.2,4,4,4,444,Champions,1.6094379124341003,2.0794415416798357,7.7381394778471675,16052.399999999998,0
12430,38,1,118.72,3,1,3,313,Others,3.6635616461296463,0.6931471805599453,4.785155682984498,118.72,0
12431,31,19,2643.6400000000003,4,4,4,444,Champions,3.4657359027997265,2.995732273553991,7.880290229169043,50229.16,0
12432,38,5,2941.8199999999997,3,4,4,344,Loyal Customers,3.6635616461296463,1.791759469228055,7.987123584283486,14709.099999999999,0
12433,4,6,3778.24,4,4,4,444,Champions,1.6094379124341003,1.9459101490553132,8.237278210197665,22669.44,0
