CustomerID	Recency	Frequency	Monetary	R_score	F_score	M_score	RFM_Score	Segment	Log_Recency	Log_Frequency	Log_Monetary	CLV	Cluster
12346	321	5	77280.49	2	4	4	244	Loyal Customers	5.774551546	1.791759469	11.25520975	386402.45	0
12347	35	6	1735.52	4	4	4	444	Champions	3.583518938	1.945910149	7.45963839	10413.12	0
12348	70	5	1478.68	3	4	4	344	Loyal Customers	4.262679877	1.791759469	7.299581127	7393.4	0
12349	14	4	2449.42	4	3	4	434	Others	2.708050201	1.609437912	7.804014717	9797.68	0
12350	305	1	162.4	2	1	3	213	Others	5.723585102	0.693147181	5.096201182	162.4	1
12351	370	1	108.63	2	1	3	213	Others	5.916202063	0.693147181	4.69711106	108.63	1
12352	31	6	1151.73	4	4	4	444	Champions	3.465735903	1.945910149	7.049888321	6910.38	0
12353	199	2	243.98	2	2	3	223	Others	5.298317367	1.098612289	5.501176575	487.96	0
12354	227	1	307.15	2	1	4	214	Others	5.429345629	0.693147181	5.730586677	307.15	0
12355	209	2	640.9	2	2	4	224	Others	5.347107531	1.098612289	6.464432528	1281.8	0
12356	241	5	3822.21	2	4	4	244	Loyal Customers	5.488937726	1.791759469	8.248845663	19111.05	0
12357	28	3	15161.27	4	3	4	434	Others	3.36729583	1.386294361	9.626565384	45483.81	0
12358	146	4	2128.75	3	3	4	334	Others	4.990432587	1.609437912	7.663759881	8515	0
12359	53	10	3340.7	3	4	4	344	Loyal Customers	3.988984047	2.397895273	8.114234939	33407	0
12360	47	6	1516.98	3	4	4	344	Loyal Customers	3.871201011	1.945910149	7.325135783	9101.88	0
12361	457	1	33	1	1	1	111	At Risk	6.126869184	0.693147181	3.526360525	33	1
12362	31	9	1388.39	4	4	4	444	Champions	3.465735903	2.302585093	7.236620081	12495.51	0
12363	105	2	251.4	3	2	3	323	Others	4.663439094	1.098612289	5.531015131	502.8	0
12364	3	4	252.18	4	3	3	433	Others	1.386294361	1.609437912	5.534100698	1008.72	0
12365	286	2	381.08	2	2	4	224	Others	5.659482216	1.098612289	5.945630011	762.16	0
12366	629	1	500.24	1	1	4	114	At Risk	6.445719819	0.693147181	6.217085028	500.24	1
12368	623	1	646.5	1	1	4	114	At Risk	6.436150368	0.693147181	6.473118794	646.5	1
12369	408	3	619.67	2	3	4	234	Others	6.013715156	1.386294361	6.43079954	1859.01	1
12370	46	7	2090.09	3	4	4	344	Loyal Customers	3.850147602	2.079441542	7.64544074	14630.63	0
12371	40	5	1958.15	3	4	4	344	Loyal Customers	3.713572067	1.791759469	7.580265985	9790.75	0
12372	67	3	406.56	3	3	4	334	Others	4.219507705	1.386294361	6.010188161	1219.68	0
12373	306	3	170.2	2	3	3	233	Others	5.726847748	1.386294361	5.142832464	510.6	1
12374	20	3	1338.27	4	3	4	434	Others	3.044522438	1.386294361	7.199879968	4014.81	0
12375	6	1	166.4	4	1	3	413	Others	1.945910149	0.693147181	5.120386158	166.4	0
12376	385	2	297.6	2	2	3	223	Others	5.955837369	1.098612289	5.699104885	595.2	1
12377	310	4	1314.16	2	3	4	234	Others	5.739792912	1.609437912	7.18171361	5256.64	1
12378	125	2	1876.27	3	2	4	324	Others	4.836281907	1.098612289	7.537573873	3752.54	0
12379	77	2	50.58	3	2	2	322	Others	4.356708827	1.098612289	3.943134	101.16	0
12380	17	10	4258.05	4	4	4	444	Champions	2.890371758	2.397895273	8.35680141	42580.5	0
12381	28	3	266.86	4	3	3	433	Others	3.36729583	1.386294361	5.590464456	800.58	0
12383	233	4	394.06	2	3	4	234	Others	5.455321115	1.609437912	5.979037652	1576.24	0
12384	24	2	53.98	4	2	2	422	Others	3.218875825	1.098612289	4.006969483	107.96	0
12385	374	1	692.9	2	1	4	214	Others	5.926926026	0.693147181	6.542327858	692.9	1
12386	333	1	143	2	1	3	213	Others	5.811140993	0.693147181	4.9698133	143	1
12388	11	6	1667.26	4	4	4	444	Champions	2.48490665	1.945910149	7.419536446	10003.56	0
12389	398	3	807.35	2	3	4	234	Others	5.988961417	1.386294361	6.694995133	2422.05	1
12390	75	1	19.8	3	1	1	311	Others	4.33073334	0.693147181	3.034952987	19.8	0
12391	17	6	789.86	4	4	4	444	Champions	2.890371758	1.945910149	6.673120961	4739.16	0
12392	586	1	182.1	1	1	3	113	At Risk	6.37502482	0.693147181	5.210032452	182.1	1
12393	67	6	702.5	3	4	4	344	Loyal Customers	4.219507705	1.945910149	6.556067877	4215	0
12394	59	1	785.2	3	1	4	314	Others	4.094344562	0.693147181	6.667211213	785.2	0
12395	14	7	596.96	4	4	4	444	Champions	2.708050201	2.079441542	6.393523862	4178.72	0
12396	669	1	145.9	1	1	3	113	At Risk	6.507277712	0.693147181	4.989752083	145.9	1
12397	31	2	390.84	4	2	4	424	Others	3.465735903	1.098612289	5.970853593	781.68	0
12398	41	1	385.54	3	1	4	314	Others	3.737669618	0.693147181	5.957235356	385.54	0
12399	114	6	430.03	3	4	4	344	Loyal Customers	4.744932128	1.945910149	6.066177693	2580.18	0
12400	409	1	29.7	2	1	1	211	Others	6.01615716	0.693147181	3.424262655	29.7	1
12402	318	2	45.3	2	2	2	222	Others	5.765191103	1.098612289	3.835141961	90.6	1
